number,priority,state,short_description,assignment_group,cat_item,request_item,sys_created_on,closed_at
SCTASK0070006,4 - Low,Open,Server Decommission,Service Desk,Password Reset,RITM0069906,2025-07-22 15:57:25,2025-07-26 12:47:36
SCTASK0070010,4 - Low,Work in Progress,Server Decommission,Cloud Ops,Server Decommission,RITM0069910,2025-12-23 21:34:25,2025-12-27 08:42:49
SCTASK0070012,4 - Low,Open,Password Reset,Cloud Ops,Mailbox Setup,RITM0069912,2025-07-20 12:56:24,2025-07-23 22:34:56
SCTASK0070017,2 - High,Open,Software Install,Cloud Ops,New Laptop Request,RITM0069917,2025-10-21 01:29:38,2025-10-25 07:05:40
SCTASK0070023,4 - Low,Closed Complete,Password Reset,Cloud Ops,VPN Account,RITM0069923,2025-11-20 16:59:48,2025-11-28 02:47:34
SCTASK0070026,3 - Moderate,Work in Progress,VPN Account,Service Desk,Software Install,RITM0069926,2025-08-03 16:01:28,2025-08-06 09:46:07
SCTASK0070027,4 - Low,Work in Progress,VPN Account,Service Desk,Server Decommission,RITM0069927,2025-09-13 18:31:24,2025-09-20 19:31:58
SCTASK0070029,4 - Low,Open,VPN Account,Cloud Ops,VPN Account,RITM0069929,2025-11-16 16:09:17,2025-11-23 20:43:59
SCTASK0070033,3 - Moderate,Work in Progress,Password Reset,Service Desk,Mailbox Setup,RITM0069933,2025-12-10 10:16:54,2025-12-18 01:06:48
SCTASK0070037,3 - Moderate,Closed Complete,Server Decommission,Cloud Ops,Mailbox Setup,RITM0069937,2025-11-09 19:07:20,2025-11-15 14:55:58
SCTASK0070043,4 - Low,Closed Complete,New Laptop Request,Deskside Support,VPN Account,RITM0069943,2025-12-08 06:26:19,2025-12-16 17:04:22
SCTASK0070044,4 - Low,Closed Complete,Mailbox Setup,Deskside Support,Server Decommission,RITM0069944,2025-12-08 15:12:34,2025-12-09 23:41:16
SCTASK0070048,2 - High,Open,Software Install,Deskside Support,VPN Account,RITM0069948,2025-10-03 10:49:42,2025-10-08 00:48:18
SCTASK0070051,4 - Low,Work in Progress,Software Install,Deskside Support,Access Request,RITM0069951,2025-11-19 13:59:21,2025-11-26 02:25:35
SCTASK0070052,4 - Low,Work in Progress,Password Reset,Cloud Ops,VPN Account,RITM0069952,2025-11-04 06:16:24,2025-11-06 01:48:30
SCTASK0070057,2 - High,Closed Complete,Mailbox Setup,Service Desk,VPN Account,RITM0069957,2025-07-21 17:02:58,2025-07-26 10:22:42
SCTASK0070061,3 - Moderate,Closed Complete,Server Decommission,Service Desk,VPN Account,RITM0069961,2025-07-05 13:24:50,2025-07-07 08:53:34
SCTASK0070064,1 - Critical,Open,Server Decommission,Cloud Ops,New Laptop Request,RITM0069964,2025-11-04 14:01:22,2025-11-06 09:43:12
SCTASK0070070,4 - Low,Open,Mailbox Setup,Cloud Ops,VPN Account,RITM0069970,2025-09-21 05:45:28,2025-09-28 18:45:45
SCTASK0070075,4 - Low,Work in Progress,Mailbox Setup,Deskside Support,New Laptop Request,RITM0069975,2025-10-21 00:13:21,2025-10-28 22:10:00
SCTASK0070078,2 - High,Open,Software Install,Service Desk,Software Install,RITM0069978,2025-10-12 11:38:20,2025-10-20 09:46:36
SCTASK0070079,4 - Low,Closed Complete,Password Reset,Deskside Support,Access Request,RITM0069979,2025-09-15 18:48:10,2025-09-22 10:06:59
SCTASK0070080,4 - Low,Open,Mailbox Setup,Deskside Support,New Laptop Request,RITM0069980,2025-12-12 10:23:45,2025-12-17 13:27:46
SCTASK0070084,4 - Low,Closed Complete,VPN Account,Service Desk,Software Install,RITM0069984,2025-10-08 11:03:25,2025-10-14 18:15:04
SCTASK0070088,3 - Moderate,Open,Mailbox Setup,Cloud Ops,New Laptop Request,RITM0069988,2025-09-22 00:49:09,2025-09-25 05:40:38
SCTASK0070093,2 - High,Closed Complete,Password Reset,Service Desk,New Laptop Request,RITM0069993,2025-08-20 21:28:19,2025-08-23 13:23:50
SCTASK0070094,4 - Low,Open,Password Reset,Service Desk,Server Decommission,RITM0069994,2025-10-28 13:11:31,2025-11-03 18:03:36
