number,type,approval,backout_plan,assignment_group,impact,expected_start,cmdb_ci,sys_created_on,closed_at
CHG0009000,Normal,Approved,Roll back deployment from snapshot,App Support,2 - Medium,2025-10-03 00:00:00,Acme Payments API,2025-10-02 00:00:00,2025-10-03 12:00:00
CHG0009007,Normal,Approved,Snapshot taken; rollback plan documented.,App Support,2 - Medium,2025-10-09 09:41:56,Globex CRM,2025-10-08 09:41:56,2025-10-12 16:09:18
CHG0009008,Emergency,Approved,Snapshot taken; rollback plan documented.,App Support,2 - Medium,2025-12-27 08:26:11,Globex CRM,2025-12-26 08:26:11,2025-12-30 10:28:27
CHG0009016,Normal,Approved,Snapshot taken; rollback plan documented.,Cloud Ops,2 - Medium,2025-11-13 23:37:21,Mailflow Online,2025-11-12 23:37:21,2025-11-16 22:12:49
CHG0009018,Normal,Rejected,Snapshot taken; rollback plan documented.,Deskside Support,2 - Medium,2025-10-31 21:06:23,Vertex Print Service,2025-10-30 21:06:23,2025-11-03 14:31:30
CHG0009023,Emergency,Approved,Snapshot taken; rollback plan documented.,App Support,3 - Low,2025-07-31 00:37:17,Helios HR Portal,2025-07-30 00:37:17,2025-08-03 18:36:49
CHG0009032,Emergency,Requested,Snapshot taken; rollback plan documented.,App Support,1 - High,2025-08-17 08:32:58,Globex CRM,2025-08-16 08:32:58,2025-08-18 19:09:01
CHG0009033,Normal,Rejected,Snapshot taken; rollback plan documented.,Cloud Ops,2 - Medium,2025-12-27 02:37:10,Mailflow Online,2025-12-26 02:37:10,2025-12-27 04:03:58
CHG0009038,Normal,Approved,Snapshot taken; rollback plan documented.,Infrastructure,1 - High,2025-07-23 21:30:03,Atlas Monitoring,2025-07-22 21:30:03,2025-07-26 05:17:03
CHG0009046,Normal,Approved,Snapshot taken; rollback plan documented.,Infrastructure,1 - High,2025-07-30 08:43:28,Atlas Monitoring,2025-07-29 08:43:28,2025-08-01 08:43:00
CHG0009052,Emergency,Approved,Snapshot taken; rollback plan documented.,App Support,3 - Low,2025-07-12 22:31:56,Acme Payments API,2025-07-11 22:31:56,2025-07-15 02:01:20
CHG0009054,Standard,Requested,Snapshot taken; rollback plan documented.,Network Ops,2 - Medium,2025-09-29 06:36:21,VPN Gateway,2025-09-28 06:36:21,2025-10-02 04:59:31
CHG0009055,Normal,Requested,Snapshot taken; rollback plan documented.,Cloud Ops,1 - High,2025-09-05 13:04:17,Nimbus File Storage,2025-09-04 13:04:17,2025-09-07 11:39:38
CHG0009063,Emergency,Rejected,Snapshot taken; rollback plan documented.,Deskside Support,1 - High,2025-08-24 22:23:11,Vertex Print Service,2025-08-23 22:23:11,2025-08-27 04:47:23
CHG0009072,Standard,Requested,Snapshot taken; rollback plan documented.,App Support,3 - Low,2025-08-30 05:36:23,Helios HR Portal,2025-08-29 05:36:23,2025-09-02 21:23:45
CHG0009081,Normal,Rejected,Snapshot taken; rollback plan documented.,Network Ops,2 - Medium,2025-07-14 14:30:21,VPN Gateway,2025-07-13 14:30:21,2025-07-17 21:10:12
CHG0009090,Emergency,Rejected,Snapshot taken; rollback plan documented.,App Support,3 - Low,2025-09-23 02:18:53,Helios HR Portal,2025-09-22 02:18:53,2025-09-23 20:07:34
CHG0009091,Emergency,Approved,Snapshot taken; rollback plan documented.,Infrastructure,2 - Medium,2025-12-05 19:11:39,Atlas Monitoring,2025-12-04 19:11:39,2025-12-08 16:24:38
CHG0009100,Emergency,Rejected,Snapshot taken; rollback plan documented.,Cloud Ops,3 - Low,2025-08-05 17:54:23,Nimbus File Storage,2025-08-04 17:54:23,2025-08-06 08:42:11
CHG0009105,Standard,Approved,Snapshot taken; rollback plan documented.,App Support,1 - High,2025-09-14 23:51:41,Helios HR Portal,2025-09-13 23:51:41,2025-09-17 02:05:19
CHG0009107,Normal,Approved,Snapshot taken; rollback plan documented.,App Support,1 - High,2025-12-01 20:10:09,Acme Payments API,2025-11-30 20:10:09,2025-12-02 15:34:07
CHG0009115,Emergency,Rejected,Snapshot taken; rollback plan documented.,Cloud Ops,3 - Low,2025-07-20 01:43:32,Mailflow Online,2025-07-19 01:43:32,2025-07-22 00:45:25
CHG0009120,Emergency,Approved,Snapshot taken; rollback plan documented.,App Support,1 - High,2025-09-07 01:01:36,Acme Payments API,2025-09-06 01:01:36,2025-09-10 18:19:37
CHG0009124,Normal,Rejected,Snapshot taken; rollback plan documented.,Identity & Access,3 - Low,2025-12-18 21:32:56,Titan Auth Service,2025-12-17 21:32:56,2025-12-19 03:22:34
CHG0009133,Emergency,Approved,Snapshot taken; rollback plan documented.,Cloud Ops,3 - Low,2025-11-29 10:20:25,Nimbus File Storage,2025-11-28 10:20:25,2025-11-30 11:51:31
CHG0009134,Normal,Approved,Snapshot taken; rollback plan documented.,App Support,3 - Low,2025-12-01 16:55:58,Globex CRM,2025-11-30 16:55:58,2025-12-02 02:15:22
CHG0009138,Normal,Approved,Snapshot taken; rollback plan documented.,Deskside Support,3 - Low,2025-09-10 12:22:26,Vertex Print Service,2025-09-09 12:22:26,2025-09-13 00:24:19
CHG0009141,Standard,Approved,Snapshot taken; rollback plan documented.,Deskside Support,3 - Low,2025-11-16 02:27:41,Vertex Print Service,2025-11-15 02:27:41,2025-11-18 09:48:42
CHG0009149,Normal,Approved,Snapshot taken; rollback plan documented.,Cloud Ops,3 - Low,2025-12-10 13:21:47,Nimbus File Storage,2025-12-09 13:21:47,2025-12-12 03:54:45
CHG0009155,Emergency,Rejected,Snapshot taken; rollback plan documented.,Network Ops,2 - Medium,2025-10-07 16:53:27,VPN Gateway,2025-10-06 16:53:27,2025-10-11 07:31:46
CHG0009164,Standard,Rejected,Snapshot taken; rollback plan documented.,App Support,3 - Low,2025-12-03 14:35:55,Helios HR Portal,2025-12-02 14:35:55,2025-12-04 21:39:00
CHG0009168,Standard,Requested,Snapshot taken; rollback plan documented.,Infrastructure,2 - Medium,2025-10-09 20:23:25,Atlas Monitoring,2025-10-08 20:23:25,2025-10-13 16:42:32
CHG0009176,Normal,Requested,Snapshot taken; rollback plan documented.,Cloud Ops,3 - Low,2025-07-02 00:51:33,Nimbus File Storage,2025-07-01 00:51:33,2025-07-02 02:25:27
CHG0009179,Normal,Approved,Snapshot taken; rollback plan documented.,Database Team,2 - Medium,2025-07-03 04:51:01,Orion Data Warehouse,2025-07-02 04:51:01,2025-07-03 06:56:01
CHG0009184,Emergency,Approved,Snapshot taken; rollback plan documented.,Deskside Support,1 - High,2025-10-03 13:30:15,Vertex Print Service,2025-10-02 13:30:15,2025-10-03 17:07:37
CHG0009190,Standard,Approved,Snapshot taken; rollback plan documented.,Network Ops,1 - High,2025-07-27 07:53:19,VPN Gateway,2025-07-26 07:53:19,2025-07-28 08:29:17
CHG0009195,Emergency,Approved,Snapshot taken; rollback plan documented.,App Support,3 - Low,2025-10-14 09:34:46,Globex CRM,2025-10-13 09:34:46,2025-10-14 16:59:27
CHG0009201,Emergency,Approved,Snapshot taken; rollback plan documented.,Identity & Access,3 - Low,2025-08-02 15:23:15,Titan Auth Service,2025-08-01 15:23:15,2025-08-05 05:02:39
CHG0009202,Normal,Requested,Snapshot taken; rollback plan documented.,Infrastructure,2 - Medium,2025-09-09 19:45:01,Atlas Monitoring,2025-09-08 19:45:01,2025-09-13 08:12:38
CHG0009209,Normal,Approved,Snapshot taken; rollback plan documented.,Cloud Ops,3 - Low,2025-12-19 05:38:26,Nimbus File Storage,2025-12-18 05:38:26,2025-12-21 20:18:27
CHG0009210,Emergency,Approved,Snapshot taken; rollback plan documented.,Cloud Ops,2 - Medium,2025-07-11 21:43:47,Nimbus File Storage,2025-07-10 21:43:47,2025-07-14 01:33:47
CHG0009213,Normal,Approved,Snapshot taken; rollback plan documented.,App Support,1 - High,2025-10-01 22:32:52,Helios HR Portal,2025-09-30 22:32:52,2025-10-04 15:13:00
CHG0009220,Emergency,Approved,Snapshot taken; rollback plan documented.,Identity & Access,1 - High,2025-11-16 18:28:27,Titan Auth Service,2025-11-15 18:28:27,2025-11-18 11:56:23
CHG0009227,Normal,Rejected,Snapshot taken; rollback plan documented.,Network Ops,3 - Low,2025-07-26 04:34:27,VPN Gateway,2025-07-25 04:34:27,2025-07-29 04:07:28
CHG0009236,Standard,Rejected,Snapshot taken; rollback plan documented.,Cloud Ops,3 - Low,2025-08-19 01:09:16,Nimbus File Storage,2025-08-18 01:09:16,2025-08-19 13:40:14
CHG0009239,Standard,Rejected,Snapshot taken; rollback plan documented.,Identity & Access,3 - Low,2025-10-12 08:25:43,Titan Auth Service,2025-10-11 08:25:43,2025-10-14 15:16:35
CHG0009248,Emergency,Approved,Snapshot taken; rollback plan documented.,Infrastructure,1 - High,2025-12-31 11:10:11,Atlas Monitoring,2025-12-30 11:10:11,2025-12-31 18:02:51
CHG0009255,Emergency,Approved,Snapshot taken; rollback plan documented.,App Support,1 - High,2025-11-04 07:22:09,Helios HR Portal,2025-11-03 07:22:09,2025-11-06 23:51:24
CHG0009262,Standard,Requested,Snapshot taken; rollback plan documented.,App Support,3 - Low,2025-09-03 17:46:05,Helios HR Portal,2025-09-02 17:46:05,2025-09-06 08:41:14
CHG0009267,Emergency,Rejected,Snapshot taken; rollback plan documented.,Network Ops,3 - Low,2025-12-29 17:46:01,VPN Gateway,2025-12-28 17:46:01,2025-12-30 07:45:56
CHG0009268,Standard,Approved,Snapshot taken; rollback plan documented.,Cloud Ops,3 - Low,2025-08-07 13:01:02,Mailflow Online,2025-08-06 13:01:02,2025-08-10 22:52:58
CHG0009270,Emergency,Approved,Snapshot taken; rollback plan documented.,App Support,2 - Medium,2025-08-15 11:28:05,Acme Payments API,2025-08-14 11:28:05,2025-08-15 12:47:11
CHG0009272,Normal,Requested,Snapshot taken; rollback plan documented.,Database Team,1 - High,2025-09-22 08:40:13,Orion Data Warehouse,2025-09-21 08:40:13,2025-09-25 07:42:41
CHG0009276,Standard,Rejected,Snapshot taken; rollback plan documented.,Cloud Ops,3 - Low,2025-10-09 23:53:42,Mailflow Online,2025-10-08 23:53:42,2025-10-12 21:58:04
CHG0009279,Emergency,Approved,Snapshot taken; rollback plan documented.,App Support,2 - Medium,2025-09-08 22:03:23,Acme Payments API,2025-09-07 22:03:23,2025-09-09 14:24:25
