number,short_description,priority,category,subcategory,assignment_group,cmdb_ci,contact_type,opened_at,resolved_at,closed_at,close_code,close_notes,incident_state,made_sla,reopen_count,major_incident_state,impact,urgency,severity,sys_created_on
INC4000006,CRM login failure,4 - Low,Software,Configuration,App Support,Globex CRM,Self-service,2025-07-05 13:50:50,2025-07-06 10:02:50,2025-07-06 10:02:50,Known Error,Resolved: crm login failure addressed by App Support.,Closed,false,0,No,Low,4 - Low,4,2025-07-05 13:50:50
INC4000008,Cannot save customer record,4 - Low,Database,Configuration,App Support,Globex CRM,Chat,2025-08-10 00:15:28,2025-08-11 12:51:28,2025-08-11 12:51:28,Solved (Work Around),Resolved: cannot save customer record addressed by App Support.,Closed,false,0,No,Low,4 - Low,4,2025-08-10 00:15:28
INC4000015,VPN disconnects intermittently,4 - Low,Network,Error,Network Ops,VPN Gateway,Self-service,2025-11-05 18:13:41,2025-11-06 19:01:41,2025-11-06 19:01:41,Closed/Resolved by Caller,Resolved: vpn disconnects intermittently addressed by Network Ops.,Closed,true,0,No,Low,4 - Low,4,2025-11-05 18:13:41
INC4000016,Service needs restart,3 - Moderate,Access,Error,Infrastructure,Atlas Monitoring,Walk-in,2025-08-18 09:46:32,2025-08-18 13:22:32,2025-08-18 13:22:32,Not Reproducible,Resolved: service needs restart addressed by Infrastructure.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-08-18 09:46:32
INC4000023,Payment timeout at checkout,4 - Low,Software,Request,App Support,Acme Payments API,Email,2025-10-30 00:16:06,2025-11-01 08:04:06,2025-11-01 08:04:06,Closed/Resolved by Caller,Resolved: payment timeout at checkout addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-10-30 00:16:06
INC4000024,Leave request stuck,2 - High,Email,Performance,App Support,Helios HR Portal,Walk-in,2025-08-08 08:09:17,2025-08-09 03:45:17,2025-08-09 03:45:17,Solved (Work Around),Resolved: leave request stuck addressed by App Support.,Closed,true,1,No,High,2 - High,2,2025-08-08 08:09:17
INC4000030,Data not refreshed overnight,3 - Moderate,Network,Error,Database Team,Orion Data Warehouse,Phone,2025-12-29 01:59:11,2025-12-31 00:17:11,2025-12-31 00:17:11,Solved (Permanently),Resolved: data not refreshed overnight addressed by Database Team.,Closed,true,1,No,Moderate,3 - Moderate,3,2025-12-29 01:59:11
INC4000032,CRM page very slow to load,1 - Critical,Database,Request,App Support,Globex CRM,Chat,2025-08-08 14:38:11,2025-08-11 10:32:11,2025-08-11 10:32:11,Closed/Resolved by Caller,Resolved: crm page very slow to load addressed by App Support.,Closed,true,0,No,Critical,1 - Critical,1,2025-08-08 14:38:11
INC4000036,Mailbox quota exceeded,1 - Critical,Email,Request,Cloud Ops,Mailflow Online,Email,2025-11-14 07:59:29,2025-11-15 22:59:29,2025-11-15 22:59:29,Solved (Work Around),Resolved: mailbox quota exceeded addressed by Cloud Ops.,Closed,true,1,No,Critical,1 - Critical,1,2025-11-14 07:59:29
INC4000040,Transaction declined in error,4 - Low,Email,Error,App Support,Acme Payments API,Chat,2025-12-05 13:57:50,2025-12-06 01:21:50,2025-12-06 01:21:50,Closed/Resolved by Caller,Resolved: transaction declined in error addressed by App Support.,Closed,false,0,Yes,Low,4 - Low,4,2025-12-05 13:57:50
INC4000047,Payment gateway returns 500,3 - Moderate,Database,Outage,App Support,Acme Payments API,Self-service,2025-11-02 11:48:17,2025-11-02 20:30:17,2025-11-02 20:30:17,Not Reproducible,Resolved: payment gateway returns 500 addressed by App Support.,Closed,false,0,No,Moderate,3 - Moderate,3,2025-11-02 11:48:17
INC4000054,Transaction declined in error,4 - Low,Hardware,Configuration,App Support,Acme Payments API,Self-service,2025-12-22 13:09:34,2025-12-25 04:15:34,2025-12-25 04:15:34,Not Reproducible,Resolved: transaction declined in error addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-12-22 13:09:34
INC4000059,VPN disconnects intermittently,3 - Moderate,Network,Request,Network Ops,VPN Gateway,Self-service,2025-10-07 16:57:09,2025-10-10 01:09:09,2025-10-10 01:09:09,Solved (Permanently),Resolved: vpn disconnects intermittently addressed by Network Ops.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-10-07 16:57:09
INC4000065,Payment timeout at checkout,4 - Low,Access,Error,App Support,Acme Payments API,Walk-in,2025-08-14 01:54:28,2025-08-15 19:00:28,2025-08-15 19:00:28,Solved (Work Around),Resolved: payment timeout at checkout addressed by App Support.,Closed,true,1,Yes,Low,4 - Low,4,2025-08-14 01:54:28
INC4000070,VPN disconnects intermittently,3 - Moderate,Support,Performance,Network Ops,VPN Gateway,Email,2025-08-18 12:07:43,2025-08-21 03:01:43,2025-08-21 03:01:43,Closed/Resolved by Caller,Resolved: vpn disconnects intermittently addressed by Network Ops.,Closed,true,1,Yes,Moderate,3 - Moderate,3,2025-08-18 12:07:43
INC4000075,MFA prompt not received,4 - Low,Email,Performance,Identity & Access,Titan Auth Service,Walk-in,2025-07-23 03:27:01,2025-07-23 20:03:01,2025-07-23 20:03:01,Solved (Work Around),Resolved: mfa prompt not received addressed by Identity & Access.,Closed,true,0,No,Low,4 - Low,4,2025-07-23 03:27:01
INC4000080,Email not syncing,4 - Low,Hardware,Outage,Cloud Ops,Mailflow Online,Chat,2025-07-13 08:01:20,2025-07-13 10:43:20,2025-07-13 10:43:20,Solved (Work Around),Resolved: email not syncing addressed by Cloud Ops.,Closed,true,1,No,Low,4 - Low,4,2025-07-13 08:01:20
INC4000084,SSO redirect loop,4 - Low,Network,Request,Identity & Access,Titan Auth Service,Chat,2025-11-25 18:31:36,2025-11-26 08:37:36,2025-11-26 08:37:36,Closed/Resolved by Caller,Resolved: sso redirect loop addressed by Identity & Access.,Closed,true,0,No,Low,4 - Low,4,2025-11-25 18:31:36
INC4000086,File restore request,4 - Low,Hardware,Configuration,Cloud Ops,Nimbus File Storage,Chat,2025-11-11 06:18:50,2025-11-13 16:00:50,2025-11-13 16:00:50,Solved (Work Around),Resolved: file restore request addressed by Cloud Ops.,Closed,false,0,No,Low,4 - Low,4,2025-11-11 06:18:50
INC4000087,SSO redirect loop,3 - Moderate,Software,Configuration,Identity & Access,Titan Auth Service,Self-service,2025-08-15 17:08:59,2025-08-18 11:38:59,2025-08-18 11:38:59,Solved (Permanently),Resolved: sso redirect loop addressed by Identity & Access.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-08-15 17:08:59
INC4000091,MFA prompt not received,4 - Low,Software,Request,Identity & Access,Titan Auth Service,Email,2025-09-27 02:07:34,2025-09-29 16:25:34,2025-09-29 16:25:34,Closed/Resolved by Caller,Resolved: mfa prompt not received addressed by Identity & Access.,Closed,true,1,Yes,Low,4 - Low,4,2025-09-27 02:07:34
INC4000097,SSO redirect loop,4 - Low,Email,Error,Identity & Access,Titan Auth Service,Email,2025-07-29 07:52:03,2025-07-30 05:34:03,2025-07-30 05:34:03,Solved (Permanently),Resolved: sso redirect loop addressed by Identity & Access.,Closed,true,1,Yes,Low,4 - Low,4,2025-07-29 07:52:03
INC4000098,Printer offline,4 - Low,Email,Error,Deskside Support,Vertex Print Service,Phone,2025-07-29 19:26:40,2025-08-01 16:38:40,2025-08-01 16:38:40,Closed/Resolved by Caller,Resolved: printer offline addressed by Deskside Support.,Closed,true,0,Yes,Low,4 - Low,4,2025-07-29 19:26:40
